No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
123,SMD 585,SMD 585," 	119,040 "," 	99,200 ",warna:,Biru,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
124,SMD 105 ,SMD 105 ," 	119,040 "," 	99,200 ",warna:,Dongker,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
125,SCR 751,SCR 751," 	121,920 "," 	101,600 ",warna:,Coklat,",",Bahan:,Cotton,",",Ukuran:,M-L,",",Keterangan Lain :,,
126,SCR 305,SCR 305," 	125,040 "," 	104,200 ",warna:,Abu,",",Bahan:,Cotton,",",Ukuran:,M-L,",",Keterangan Lain :,,
127,SHJ 131,SHJ 131," 	153,720 "," 	128,100 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,M-L,",",Keterangan Lain :,,
128,SCR 515,SCR 515," 	138,360 "," 	115,300 ",warna:,Biru,",",Bahan:,Denim ,",",Ukuran:,M-L ,",",Keterangan Lain :,,
129,SDL 114,SDL 114," 	105,480 "," 	87,900 ",warna:,Abu ,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
130,SDL 088,SDL 088," 	106,320 "," 	88,600 ",warna:,Abu ,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
131,STI 263,STI 263," 	123,840 "," 	103,200 ",warna:,Mrhkom,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
132,SDL 433,SDL 433," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
133,SRT 195,SRT 195," 	111,000 "," 	92,500 ",warna:,Cklmud,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
134,SGU 189,SGU 189," 	150,840 "," 	125,700 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
135,SDL 947,SDL 947," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
